id,name,slug,type,name_with_type,code,parent_code,path,path_with_type
12376,Hiếu Nhơn,hieu-nhon,xa,Xã Hiếu Nhơn,29710,859,"Hiếu Nhơn, Vũng Liêm, Vĩnh Long","Xã Hiếu Nhơn, Huyện  Vũng Liêm, Tỉnh Vĩnh Long"
12377,Quới Thiện,quoi-thien,xa,Xã Quới Thiện,29665,859,"Quới Thiện, Vũng Liêm, Vĩnh Long","Xã Quới Thiện, Huyện  Vũng Liêm, Tỉnh Vĩnh Long"
12378,Trung Ngãi,trung-ngai,xa,Xã Trung Ngãi,29698,859,"Trung Ngãi, Vũng Liêm, Vĩnh Long","Xã Trung Ngãi, Huyện  Vũng Liêm, Tỉnh Vĩnh Long"
12379,Hiếu Phụng,hieu-phung,xa,Xã Hiếu Phụng,29686,859,"Hiếu Phụng, Vũng Liêm, Vĩnh Long","Xã Hiếu Phụng, Huyện  Vũng Liêm, Tỉnh Vĩnh Long"
12380,Tân An Luông,tan-an-luong,xa,Xã Tân An Luông,29674,859,"Tân An Luông, Vũng Liêm, Vĩnh Long","Xã Tân An Luông, Huyện  Vũng Liêm, Tỉnh Vĩnh Long"
12381,Trung Thành Tây,trung-thanh-tay,xa,Xã Trung Thành Tây,29680,859,"Trung Thành Tây, Vũng Liêm, Vĩnh Long","Xã Trung Thành Tây, Huyện  Vũng Liêm, Tỉnh Vĩnh Long"
12382,Đồng Tháp,dong-thap,tinh,Tỉnh Đồng Tháp,87,0,,
12383,Hồng Ngự,hong-ngu,huyen,Huyện Hồng Ngự,870,87,"Hồng Ngự, Đồng Tháp","Huyện Hồng Ngự, Tỉnh Đồng Tháp"
12384,Long Thuận,long-thuan,xa,Xã Long Thuận,29992,870,"Long Thuận, Hồng Ngự, Đồng Tháp","Xã Long Thuận, Huyện Hồng Ngự, Tỉnh Đồng Tháp"
12385,Long Khánh A,long-khanh-a,xa,Xã Long Khánh A,29980,870,"Long Khánh A, Hồng Ngự, Đồng Tháp","Xã Long Khánh A, Huyện Hồng Ngự, Tỉnh Đồng Tháp"
12386,Thường Phước 2,thuong-phuoc-2,xa,Xã Thường Phước 2,29974,870,"Thường Phước 2, Hồng Ngự, Đồng Tháp","Xã Thường Phước 2, Huyện Hồng Ngự, Tỉnh Đồng Tháp"
12387,Thường Thới Hậu A,thuong-thoi-hau-a,xa,Xã Thường Thới Hậu A,29962,870,"Thường Thới Hậu A, Hồng Ngự, Đồng Tháp","Xã Thường Thới Hậu A, Huyện Hồng Ngự, Tỉnh Đồng Tháp"
12388,Phú Thuận B,phu-thuan-b,xa,Xã Phú Thuận B,29995,870,"Phú Thuận B, Hồng Ngự, Đồng Tháp","Xã Phú Thuận B, Huyện Hồng Ngự, Tỉnh Đồng Tháp"
12389,Long Khánh B,long-khanh-b,xa,Xã Long Khánh B,29983,870,"Long Khánh B, Hồng Ngự, Đồng Tháp","Xã Long Khánh B, Huyện Hồng Ngự, Tỉnh Đồng Tháp"
12390,Thường Thới Tiền,thuong-thoi-tien,thi-tran,Thị trấn Thường Thới Tiền,29971,870,"Thường Thới Tiền, Hồng Ngự, Đồng Tháp","Thị trấn Thường Thới Tiền, Huyện Hồng Ngự, Tỉnh Đồng Tháp"
12391,Thường Phước 1,thuong-phuoc-1,xa,Xã Thường Phước 1,29956,870,"Thường Phước 1, Hồng Ngự, Đồng Tháp","Xã Thường Phước 1, Huyện Hồng Ngự, Tỉnh Đồng Tháp"
12392,Thường Lạc,thuong-lac,xa,Xã Thường Lạc,29977,870,"Thường Lạc, Hồng Ngự, Đồng Tháp","Xã Thường Lạc, Huyện Hồng Ngự, Tỉnh Đồng Tháp"
12393,Phú Thuận A,phu-thuan-a,xa,Xã Phú Thuận A,29998,870,"Phú Thuận A, Hồng Ngự, Đồng Tháp","Xã Phú Thuận A, Huyện Hồng Ngự, Tỉnh Đồng Tháp"
12394,Tam Nông,tam-nong,huyen,Huyện Tam Nông,871,87,"Tam Nông, Đồng Tháp","Huyện Tam Nông, Tỉnh Đồng Tháp"
12395,Phú Đức,phu-duc,xa,Xã Phú Đức,30013,871,"Phú Đức, Tam Nông, Đồng Tháp","Xã Phú Đức, Huyện Tam Nông, Tỉnh Đồng Tháp"
12396,Tràm Chim,tram-chim,thi-tran,Thị trấn Tràm Chim,30001,871,"Tràm Chim, Tam Nông, Đồng Tháp","Thị trấn Tràm Chim, Huyện Tam Nông, Tỉnh Đồng Tháp"
12397,Phú Thành A,phu-thanh-a,xa,Xã Phú Thành A,30034,871,"Phú Thành A, Tam Nông, Đồng Tháp","Xã Phú Thành A, Huyện Tam Nông, Tỉnh Đồng Tháp"
12398,Hoà Bình,hoa-binh,xa,Xã Hoà Bình,30004,871,"Hoà Bình, Tam Nông, Đồng Tháp","Xã Hoà Bình, Huyện Tam Nông, Tỉnh Đồng Tháp"
