id,name,slug,type,name_with_type,code,parent_code,path,path_with_type
1001,Quảng Bình,quang-binh,tinh,Tỉnh Quảng Bình,44,0,,
1002,Minh Hóa,minh-hoa,huyen,Huyện Minh Hóa,452,44,"Minh Hóa, Quảng Bình","Huyện Minh Hóa, Tỉnh Quảng Bình"
1003,Quy Hóa,quy-hoa,xa,Xã Quy Hóa,18940,452,"Quy Hóa, Minh Hóa, Quảng Bình","Xã Quy Hóa, Huyện Minh Hóa, Tỉnh Quảng Bình"
1004,Yên Hóa,yen-hoa,xa,Xã Yên Hóa,18928,452,"Yên Hóa, Minh Hóa, Quảng Bình","Xã Yên Hóa, Huyện Minh Hóa, Tỉnh Quảng Bình"
1005,Trọng Hóa,trong-hoa,xa,Xã Trọng Hóa,18907,452,"Trọng Hóa, Minh Hóa, Quảng Bình","Xã Trọng Hóa, Huyện Minh Hóa, Tỉnh Quảng Bình"
1006,Hóa Tiến,hoa-tien,xa,Xã Hóa Tiến,18919,452,"Hóa Tiến, Minh Hóa, Quảng Bình","Xã Hóa Tiến, Huyện Minh Hóa, Tỉnh Quảng Bình"
1007,Hồng Hóa,hong-hoa,xa,Xã Hồng Hóa,18913,452,"Hồng Hóa, Minh Hóa, Quảng Bình","Xã Hồng Hóa, Huyện Minh Hóa, Tỉnh Quảng Bình"
1008,Thượng Hóa,thuong-hoa,xa,Xã Thượng Hóa,18946,452,"Thượng Hóa, Minh Hóa, Quảng Bình","Xã Thượng Hóa, Huyện Minh Hóa, Tỉnh Quảng Bình"
1009,Xuân Hóa,xuan-hoa,xa,Xã Xuân Hóa,18925,452,"Xuân Hóa, Minh Hóa, Quảng Bình","Xã Xuân Hóa, Huyện Minh Hóa, Tỉnh Quảng Bình"
1010,Dân Hóa,dan-hoa,xa,Xã Dân Hóa,18904,452,"Dân Hóa, Minh Hóa, Quảng Bình","Xã Dân Hóa, Huyện Minh Hóa, Tỉnh Quảng Bình"
1011,Hóa Sơn,hoa-son,xa,Xã Hóa Sơn,18937,452,"Hóa Sơn, Minh Hóa, Quảng Bình","Xã Hóa Sơn, Huyện Minh Hóa, Tỉnh Quảng Bình"
1012,Hóa Thanh,hoa-thanh,xa,Xã Hóa Thanh,18916,452,"Hóa Thanh, Minh Hóa, Quảng Bình","Xã Hóa Thanh, Huyện Minh Hóa, Tỉnh Quảng Bình"
1013,Minh Hóa,minh-hoa,xa,Xã Minh Hóa,18931,452,"Minh Hóa, Minh Hóa, Quảng Bình","Xã Minh Hóa, Huyện Minh Hóa, Tỉnh Quảng Bình"
1014,Hóa Phúc,hoa-phuc,xa,Xã Hóa Phúc,18910,452,"Hóa Phúc, Minh Hóa, Quảng Bình","Xã Hóa Phúc, Huyện Minh Hóa, Tỉnh Quảng Bình"
1015,Trung Hóa,trung-hoa,xa,Xã Trung Hóa,18943,452,"Trung Hóa, Minh Hóa, Quảng Bình","Xã Trung Hóa, Huyện Minh Hóa, Tỉnh Quảng Bình"
1016,Hóa Hợp,hoa-hop,xa,Xã Hóa Hợp,18922,452,"Hóa Hợp, Minh Hóa, Quảng Bình","Xã Hóa Hợp, Huyện Minh Hóa, Tỉnh Quảng Bình"
1017,Quy Đạt,quy-dat,thi-tran,Thị trấn Quy Đạt,18901,452,"Quy Đạt, Minh Hóa, Quảng Bình","Thị trấn Quy Đạt, Huyện Minh Hóa, Tỉnh Quảng Bình"
1018,Tân Hóa,tan-hoa,xa,Xã Tân Hóa,18934,452,"Tân Hóa, Minh Hóa, Quảng Bình","Xã Tân Hóa, Huyện Minh Hóa, Tỉnh Quảng Bình"
1019,Tuyên Hóa,tuyen-hoa,huyen,Huyện Tuyên Hóa,453,44,"Tuyên Hóa, Quảng Bình","Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1020,Nam Hóa,nam-hoa,xa,Xã Nam Hóa,18982,453,"Nam Hóa, Tuyên Hóa, Quảng Bình","Xã Nam Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1021,Thanh Thạch,thanh-thach,xa,Xã Thanh Thạch,18961,453,"Thanh Thạch, Tuyên Hóa, Quảng Bình","Xã Thanh Thạch, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1022,Mai Hóa,mai-hoa,xa,Xã Mai Hóa,18994,453,"Mai Hóa, Tuyên Hóa, Quảng Bình","Xã Mai Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1023,Sơn Hóa,son-hoa,xa,Xã Sơn Hóa,18973,453,"Sơn Hóa, Tuyên Hóa, Quảng Bình","Xã Sơn Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1024,Hương Hóa,huong-hoa,xa,Xã Hương Hóa,18952,453,"Hương Hóa, Tuyên Hóa, Quảng Bình","Xã Hương Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1025,Thạch Hóa,thach-hoa,xa,Xã Thạch Hóa,18985,453,"Thạch Hóa, Tuyên Hóa, Quảng Bình","Xã Thạch Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1026,Văn Hóa,van-hoa,xa,Xã Văn Hóa,19006,453,"Văn Hóa, Tuyên Hóa, Quảng Bình","Xã Văn Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1027,Châu Hóa,chau-hoa,xa,Xã Châu Hóa,19000,453,"Châu Hóa, Tuyên Hóa, Quảng Bình","Xã Châu Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1028,Phong Hóa,phong-hoa,xa,Xã Phong Hóa,18991,453,"Phong Hóa, Tuyên Hóa, Quảng Bình","Xã Phong Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1029,Cao Quảng,cao-quang,xa,Xã Cao Quảng,19003,453,"Cao Quảng, Tuyên Hóa, Quảng Bình","Xã Cao Quảng, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1030,Lê Hóa,le-hoa,xa,Xã Lê Hóa,18970,453,"Lê Hóa, Tuyên Hóa, Quảng Bình","Xã Lê Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1031,Ngư Hóa,ngu-hoa,xa,Xã Ngư Hóa,18979,453,"Ngư Hóa, Tuyên Hóa, Quảng Bình","Xã Ngư Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1032,Thanh Hóa,thanh-hoa,xa,Xã Thanh Hóa,18958,453,"Thanh Hóa, Tuyên Hóa, Quảng Bình","Xã Thanh Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1033,Đồng Lê,dong-le,thi-tran,Thị trấn Đồng Lê,18949,453,"Đồng Lê, Tuyên Hóa, Quảng Bình","Thị trấn Đồng Lê, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1034,Thuận Hóa,thuan-hoa,xa,Xã Thuận Hóa,18964,453,"Thuận Hóa, Tuyên Hóa, Quảng Bình","Xã Thuận Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1035,Tiến Hóa,tien-hoa,xa,Xã Tiến Hóa,18997,453,"Tiến Hóa, Tuyên Hóa, Quảng Bình","Xã Tiến Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1036,Đồng Hóa,dong-hoa,xa,Xã Đồng Hóa,18976,453,"Đồng Hóa, Tuyên Hóa, Quảng Bình","Xã Đồng Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1037,Kim Hóa,kim-hoa,xa,Xã Kim Hóa,18955,453,"Kim Hóa, Tuyên Hóa, Quảng Bình","Xã Kim Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1038,Đức Hóa,duc-hoa,xa,Xã Đức Hóa,18988,453,"Đức Hóa, Tuyên Hóa, Quảng Bình","Xã Đức Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1039,Lâm Hóa,lam-hoa,xa,Xã Lâm Hóa,18967,453,"Lâm Hóa, Tuyên Hóa, Quảng Bình","Xã Lâm Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1040,Quảng Trạch,quang-trach,huyen,Huyện Quảng Trạch,454,44,"Quảng Trạch, Quảng Bình","Huyện Quảng Trạch, Tỉnh Quảng Bình"
1041,Quảng Thạch,quang-thach,xa,Xã Quảng Thạch,19027,454,"Quảng Thạch, Quảng Trạch, Quảng Bình","Xã Quảng Thạch, Huyện Quảng Trạch, Tỉnh Quảng Bình"
1042,Quảng Kim,quang-kim,xa,Xã Quảng Kim,19015,454,"Quảng Kim, Quảng Trạch, Quảng Bình","Xã Quảng Kim, Huyện Quảng Trạch, Tỉnh Quảng Bình"
1043,Cảnh Hóa,canh-hoa,xa,Xã Cảnh Hóa,19048,454,"Cảnh Hóa, Quảng Trạch, Quảng Bình","Xã Cảnh Hóa, Huyện Quảng Trạch, Tỉnh Quảng Bình"
1044,Quảng Đông,quang-dong,xa,Xã Quảng Đông,19018,454,"Quảng Đông, Quảng Trạch, Quảng Bình","Xã Quảng Đông, Huyện Quảng Trạch, Tỉnh Quảng Bình"
1045,Quảng Tiến,quang-tien,xa,Xã Quảng Tiến,19039,454,"Quảng Tiến, Quảng Trạch, Quảng Bình","Xã Quảng Tiến, Huyện Quảng Trạch, Tỉnh Quảng Bình"
1046,Quảng Hợp,quang-hop,xa,Xã Quảng Hợp,19012,454,"Quảng Hợp, Quảng Trạch, Quảng Bình","Xã Quảng Hợp, Huyện Quảng Trạch, Tỉnh Quảng Bình"
1047,Quảng Xuân,quang-xuan,xa,Xã Quảng Xuân,19045,454,"Quảng Xuân, Quảng Trạch, Quảng Bình","Xã Quảng Xuân, Huyện Quảng Trạch, Tỉnh Quảng Bình"
1048,Quảng Tùng,quang-tung,xa,Xã Quảng Tùng,19033,454,"Quảng Tùng, Quảng Trạch, Quảng Bình","Xã Quảng Tùng, Huyện Quảng Trạch, Tỉnh Quảng Bình"
1049,Cảnh Dương,canh-duong,xa,Xã Cảnh Dương,19036,454,"Cảnh Dương, Quảng Trạch, Quảng Bình","Xã Cảnh Dương, Huyện Quảng Trạch, Tỉnh Quảng Bình"
1050,Quảng Châu,quang-chau,xa,Xã Quảng Châu,19024,454,"Quảng Châu, Quảng Trạch, Quảng Bình","Xã Quảng Châu, Huyện Quảng Trạch, Tỉnh Quảng Bình"
1051,Quảng Phương,quang-phuong,xa,Xã Quảng Phương,19057,454,"Quảng Phương, Quảng Trạch, Quảng Bình","Xã Quảng Phương, Huyện Quảng Trạch, Tỉnh Quảng Bình"
1052,Quảng Lưu,quang-luu,xa,Xã Quảng Lưu,19030,454,"Quảng Lưu, Quảng Trạch, Quảng Bình","Xã Quảng Lưu, Huyện Quảng Trạch, Tỉnh Quảng Bình"
1053,Phù Hóa,phu-hoa,xa,Xã Phù Hóa,19063,454,"Phù Hóa, Quảng Trạch, Quảng Bình","Xã Phù Hóa, Huyện Quảng Trạch, Tỉnh Quảng Bình"
1054,Quảng Liên,quang-lien,xa,Xã Quảng Liên,19051,454,"Quảng Liên, Quảng Trạch, Quảng Bình","Xã Quảng Liên, Huyện Quảng Trạch, Tỉnh Quảng Bình"
1055,Quảng Phú,quang-phu,xa,Xã Quảng Phú,19021,454,"Quảng Phú, Quảng Trạch, Quảng Bình","Xã Quảng Phú, Huyện Quảng Trạch, Tỉnh Quảng Bình"
1056,Quảng Trường,quang-truong,xa,Xã Quảng Trường,19054,454,"Quảng Trường, Quảng Trạch, Quảng Bình","Xã Quảng Trường, Huyện Quảng Trạch, Tỉnh Quảng Bình"
1057,Quảng Hưng,quang-hung,xa,Xã Quảng Hưng,19042,454,"Quảng Hưng, Quảng Trạch, Quảng Bình","Xã Quảng Hưng, Huyện Quảng Trạch, Tỉnh Quảng Bình"
1058,Quảng Thanh,quang-thanh,xa,Xã Quảng Thanh,19072,454,"Quảng Thanh, Quảng Trạch, Quảng Bình","Xã Quảng Thanh, Huyện Quảng Trạch, Tỉnh Quảng Bình"
1059,Bố Trạch,bo-trach,huyen,Huyện Bố Trạch,455,44,"Bố Trạch, Quảng Bình","Huyện Bố Trạch, Tỉnh Quảng Bình"
1060,Bắc Trạch,bac-trach,xa,Xã Bắc Trạch,19126,455,"Bắc Trạch, Bố Trạch, Quảng Bình","Xã Bắc Trạch, Huyện Bố Trạch, Tỉnh Quảng Bình"
1061,Thượng Trạch,thuong-trach,xa,Xã Thượng Trạch,19147,455,"Thượng Trạch, Bố Trạch, Quảng Bình","Xã Thượng Trạch, Huyện Bố Trạch, Tỉnh Quảng Bình"
1062,Hải Trạch,hai-trach,xa,Xã Hải Trạch,19144,455,"Hải Trạch, Bố Trạch, Quảng Bình","Xã Hải Trạch, Huyện Bố Trạch, Tỉnh Quảng Bình"
1063,Sơn Trạch,son-trach,xa,Xã Sơn Trạch,19165,455,"Sơn Trạch, Bố Trạch, Quảng Bình","Xã Sơn Trạch, Huyện Bố Trạch, Tỉnh Quảng Bình"
1064,Vạn Trạch,van-trach,xa,Xã Vạn Trạch,19168,455,"Vạn Trạch, Bố Trạch, Quảng Bình","Xã Vạn Trạch, Huyện Bố Trạch, Tỉnh Quảng Bình"
1065,Hạ Trạch,ha-trach,xa,Xã Hạ Trạch,19123,455,"Hạ Trạch, Bố Trạch, Quảng Bình","Xã Hạ Trạch, Huyện Bố Trạch, Tỉnh Quảng Bình"
1066,Nhân Trạch,nhan-trach,xa,Xã Nhân Trạch,19189,455,"Nhân Trạch, Bố Trạch, Quảng Bình","Xã Nhân Trạch, Huyện Bố Trạch, Tỉnh Quảng Bình"
1067,Đức Trạch,duc-trach,xa,Xã Đức Trạch,19162,455,"Đức Trạch, Bố Trạch, Quảng Bình","Xã Đức Trạch, Huyện Bố Trạch, Tỉnh Quảng Bình"
1068,Hòa Trạch,hoa-trach,xa,Xã Hòa Trạch,19183,455,"Hòa Trạch, Bố Trạch, Quảng Bình","Xã Hòa Trạch, Huyện Bố Trạch, Tỉnh Quảng Bình"
1069,Mỹ Trạch,my-trach,xa,Xã Mỹ Trạch,19120,455,"Mỹ Trạch, Bố Trạch, Quảng Bình","Xã Mỹ Trạch, Huyện Bố Trạch, Tỉnh Quảng Bình"
1070,Đại Trạch,dai-trach,xa,Xã Đại Trạch,19186,455,"Đại Trạch, Bố Trạch, Quảng Bình","Xã Đại Trạch, Huyện Bố Trạch, Tỉnh Quảng Bình"
1071,Cự Nẫm,cu-nam,xa,Xã Cự Nẫm,19141,455,"Cự Nẫm, Bố Trạch, Quảng Bình","Xã Cự Nẫm, Huyện Bố Trạch, Tỉnh Quảng Bình"
1072,Tây Trạch,tay-trach,xa,Xã Tây Trạch,19180,455,"Tây Trạch, Bố Trạch, Quảng Bình","Xã Tây Trạch, Huyện Bố Trạch, Tỉnh Quảng Bình"
1073,Lâm Trạch,lam-trach,xa,Xã Lâm Trạch,19129,455,"Lâm Trạch, Bố Trạch, Quảng Bình","Xã Lâm Trạch, Huyện Bố Trạch, Tỉnh Quảng Bình"
1074,Đồng Trạch,dong-trach,xa,Xã Đồng Trạch,19159,455,"Đồng Trạch, Bố Trạch, Quảng Bình","Xã Đồng Trạch, Huyện Bố Trạch, Tỉnh Quảng Bình"
1075,NT Việt Trung,nt-viet-trung,thi-tran,Thị trấn NT Việt Trung,19114,455,"NT Việt Trung, Bố Trạch, Quảng Bình","Thị trấn NT Việt Trung, Huyện Bố Trạch, Tỉnh Quảng Bình"
1076,Xuân Trạch,xuan-trach,xa,Xã Xuân Trạch,19117,455,"Xuân Trạch, Bố Trạch, Quảng Bình","Xã Xuân Trạch, Huyện Bố Trạch, Tỉnh Quảng Bình"
1077,Phúc Trạch,phuc-trach,xa,Xã Phúc Trạch,19138,455,"Phúc Trạch, Bố Trạch, Quảng Bình","Xã Phúc Trạch, Huyện Bố Trạch, Tỉnh Quảng Bình"
1078,Hoàn Lão,hoan-lao,thi-tran,Thị trấn Hoàn Lão,19111,455,"Hoàn Lão, Bố Trạch, Quảng Bình","Thị trấn Hoàn Lão, Huyện Bố Trạch, Tỉnh Quảng Bình"
1079,Trung Trạch,trung-trach,xa,Xã Trung Trạch,19177,455,"Trung Trạch, Bố Trạch, Quảng Bình","Xã Trung Trạch, Huyện Bố Trạch, Tỉnh Quảng Bình"
1080,Thanh Trạch,thanh-trach,xa,Xã Thanh Trạch,19132,455,"Thanh Trạch, Bố Trạch, Quảng Bình","Xã Thanh Trạch, Huyện Bố Trạch, Tỉnh Quảng Bình"
1081,Lý Trạch,ly-trach,xa,Xã Lý Trạch,19198,455,"Lý Trạch, Bố Trạch, Quảng Bình","Xã Lý Trạch, Huyện Bố Trạch, Tỉnh Quảng Bình"
1082,Liên Trạch,lien-trach,xa,Xã Liên Trạch,19135,455,"Liên Trạch, Bố Trạch, Quảng Bình","Xã Liên Trạch, Huyện Bố Trạch, Tỉnh Quảng Bình"
1083,Hưng Trạch,hung-trach,xa,Xã Hưng Trạch,19156,455,"Hưng Trạch, Bố Trạch, Quảng Bình","Xã Hưng Trạch, Huyện Bố Trạch, Tỉnh Quảng Bình"
1084,Nam Trạch,nam-trach,xa,Xã Nam Trạch,19195,455,"Nam Trạch, Bố Trạch, Quảng Bình","Xã Nam Trạch, Huyện Bố Trạch, Tỉnh Quảng Bình"
1085,Sơn Lộc,son-loc,xa,Xã Sơn Lộc,19150,455,"Sơn Lộc, Bố Trạch, Quảng Bình","Xã Sơn Lộc, Huyện Bố Trạch, Tỉnh Quảng Bình"
1086,Phú Trạch,phu-trach,xa,Xã Phú Trạch,19153,455,"Phú Trạch, Bố Trạch, Quảng Bình","Xã Phú Trạch, Huyện Bố Trạch, Tỉnh Quảng Bình"
1087,Phú Định,phu-dinh,xa,Xã Phú Định,19174,455,"Phú Định, Bố Trạch, Quảng Bình","Xã Phú Định, Huyện Bố Trạch, Tỉnh Quảng Bình"
1088,Hoàn Trạch,hoan-trach,xa,Xã Hoàn Trạch,19171,455,"Hoàn Trạch, Bố Trạch, Quảng Bình","Xã Hoàn Trạch, Huyện Bố Trạch, Tỉnh Quảng Bình"
1089,Tân Trạch,tan-trach,xa,Xã Tân Trạch,19192,455,"Tân Trạch, Bố Trạch, Quảng Bình","Xã Tân Trạch, Huyện Bố Trạch, Tỉnh Quảng Bình"
1090,Quảng Ninh,quang-ninh,huyen,Huyện Quảng Ninh,456,44,"Quảng Ninh, Quảng Bình","Huyện Quảng Ninh, Tỉnh Quảng Bình"
1091,Gia Ninh,gia-ninh,xa,Xã Gia Ninh,19225,456,"Gia Ninh, Quảng Ninh, Quảng Bình","Xã Gia Ninh, Huyện Quảng Ninh, Tỉnh Quảng Bình"
1092,Võ Ninh,vo-ninh,xa,Xã Võ Ninh,19213,456,"Võ Ninh, Quảng Ninh, Quảng Bình","Xã Võ Ninh, Huyện Quảng Ninh, Tỉnh Quảng Bình"
1093,Hải Ninh,hai-ninh,xa,Xã Hải Ninh,19216,456,"Hải Ninh, Quảng Ninh, Quảng Bình","Xã Hải Ninh, Huyện Quảng Ninh, Tỉnh Quảng Bình"
1094,Trường Sơn,truong-son,xa,Xã Trường Sơn,19204,456,"Trường Sơn, Quảng Ninh, Quảng Bình","Xã Trường Sơn, Huyện Quảng Ninh, Tỉnh Quảng Bình"
1095,Xuân Ninh,xuan-ninh,xa,Xã Xuân Ninh,19237,456,"Xuân Ninh, Quảng Ninh, Quảng Bình","Xã Xuân Ninh, Huyện Quảng Ninh, Tỉnh Quảng Bình"
1096,Vĩnh Ninh,vinh-ninh,xa,Xã Vĩnh Ninh,19210,456,"Vĩnh Ninh, Quảng Ninh, Quảng Bình","Xã Vĩnh Ninh, Huyện Quảng Ninh, Tỉnh Quảng Bình"
1097,Vạn Ninh,van-ninh,xa,Xã Vạn Ninh,19243,456,"Vạn Ninh, Quảng Ninh, Quảng Bình","Xã Vạn Ninh, Huyện Quảng Ninh, Tỉnh Quảng Bình"
1098,Hiền Ninh,hien-ninh,xa,Xã Hiền Ninh,19231,456,"Hiền Ninh, Quảng Ninh, Quảng Bình","Xã Hiền Ninh, Huyện Quảng Ninh, Tỉnh Quảng Bình"
1099,Quán Hàu,quan-hau,thi-tran,Thị trấn Quán Hàu,19201,456,"Quán Hàu, Quảng Ninh, Quảng Bình","Thị trấn Quán Hàu, Huyện Quảng Ninh, Tỉnh Quảng Bình"
1100,Tân Ninh,tan-ninh,xa,Xã Tân Ninh,19234,456,"Tân Ninh, Quảng Ninh, Quảng Bình","Xã Tân Ninh, Huyện Quảng Ninh, Tỉnh Quảng Bình"
1101,Duy Ninh,duy-ninh,xa,Xã Duy Ninh,19222,456,"Duy Ninh, Quảng Ninh, Quảng Bình","Xã Duy Ninh, Huyện Quảng Ninh, Tỉnh Quảng Bình"
1102,An Ninh,an-ninh,xa,Xã An Ninh,19240,456,"An Ninh, Quảng Ninh, Quảng Bình","Xã An Ninh, Huyện Quảng Ninh, Tỉnh Quảng Bình"
1103,Lương Ninh,luong-ninh,xa,Xã Lương Ninh,19207,456,"Lương Ninh, Quảng Ninh, Quảng Bình","Xã Lương Ninh, Huyện Quảng Ninh, Tỉnh Quảng Bình"
1104,Trường Xuân,truong-xuan,xa,Xã Trường Xuân,19228,456,"Trường Xuân, Quảng Ninh, Quảng Bình","Xã Trường Xuân, Huyện Quảng Ninh, Tỉnh Quảng Bình"
1105,Hàm Ninh,ham-ninh,xa,Xã Hàm Ninh,19219,456,"Hàm Ninh, Quảng Ninh, Quảng Bình","Xã Hàm Ninh, Huyện Quảng Ninh, Tỉnh Quảng Bình"
1106,Lệ Thủy,le-thuy,huyen,Huyện Lệ Thủy,457,44,"Lệ Thủy, Quảng Bình","Huyện Lệ Thủy, Tỉnh Quảng Bình"
1107,Văn Thủy,van-thuy,xa,Xã Văn Thủy,19324,457,"Văn Thủy, Lệ Thủy, Quảng Bình","Xã Văn Thủy, Huyện Lệ Thủy, Tỉnh Quảng Bình"
1108,NT Lệ Ninh,nt-le-ninh,thi-tran,Thị trấn NT Lệ Ninh,19246,457,"NT Lệ Ninh, Lệ Thủy, Quảng Bình","Thị trấn NT Lệ Ninh, Huyện Lệ Thủy, Tỉnh Quảng Bình"
1109,Kiến Giang,kien-giang,thi-tran,Thị trấn Kiến Giang,19249,457,"Kiến Giang, Lệ Thủy, Quảng Bình","Thị trấn Kiến Giang, Huyện Lệ Thủy, Tỉnh Quảng Bình"
1110,Mỹ Thủy,my-thuy,xa,Xã Mỹ Thủy,19303,457,"Mỹ Thủy, Lệ Thủy, Quảng Bình","Xã Mỹ Thủy, Huyện Lệ Thủy, Tỉnh Quảng Bình"
1111,An Thủy,an-thuy,xa,Xã An Thủy,19264,457,"An Thủy, Lệ Thủy, Quảng Bình","Xã An Thủy, Huyện Lệ Thủy, Tỉnh Quảng Bình"
1112,Phong Thủy,phong-thuy,xa,Xã Phong Thủy,19267,457,"Phong Thủy, Lệ Thủy, Quảng Bình","Xã Phong Thủy, Huyện Lệ Thủy, Tỉnh Quảng Bình"
1113,Xuân Thủy,xuan-thuy,xa,Xã Xuân Thủy,19300,457,"Xuân Thủy, Lệ Thủy, Quảng Bình","Xã Xuân Thủy, Huyện Lệ Thủy, Tỉnh Quảng Bình"
1114,Hưng Thủy,hung-thuy,xa,Xã Hưng Thủy,19288,457,"Hưng Thủy, Lệ Thủy, Quảng Bình","Xã Hưng Thủy, Huyện Lệ Thủy, Tỉnh Quảng Bình"
1115,Trường Thủy,truong-thuy,xa,Xã Trường Thủy,19321,457,"Trường Thủy, Lệ Thủy, Quảng Bình","Xã Trường Thủy, Huyện Lệ Thủy, Tỉnh Quảng Bình"
1116,Thanh Thủy,thanh-thuy,xa,Xã Thanh Thủy,19261,457,"Thanh Thủy, Lệ Thủy, Quảng Bình","Xã Thanh Thủy, Huyện Lệ Thủy, Tỉnh Quảng Bình"
1117,Ngư Thủy Trung,ngu-thuy-trung,xa,Xã Ngư Thủy Trung,19282,457,"Ngư Thủy Trung, Lệ Thủy, Quảng Bình","Xã Ngư Thủy Trung, Huyện Lệ Thủy, Tỉnh Quảng Bình"
1118,Liên Thủy,lien-thuy,xa,Xã Liên Thủy,19285,457,"Liên Thủy, Lệ Thủy, Quảng Bình","Xã Liên Thủy, Huyện Lệ Thủy, Tỉnh Quảng Bình"
1119,Mai Thủy,mai-thuy,xa,Xã Mai Thủy,19309,457,"Mai Thủy, Lệ Thủy, Quảng Bình","Xã Mai Thủy, Huyện Lệ Thủy, Tỉnh Quảng Bình"
1120,Ngư Thủy Nam,ngu-thuy-nam,xa,Xã Ngư Thủy Nam,19306,457,"Ngư Thủy Nam, Lệ Thủy, Quảng Bình","Xã Ngư Thủy Nam, Huyện Lệ Thủy, Tỉnh Quảng Bình"
1121,Lâm Thủy,lam-thuy,xa,Xã Lâm Thủy,19327,457,"Lâm Thủy, Lệ Thủy, Quảng Bình","Xã Lâm Thủy, Huyện Lệ Thủy, Tỉnh Quảng Bình"
1122,Hoa Thủy,hoa-thuy,xa,Xã Hoa Thủy,19258,457,"Hoa Thủy, Lệ Thủy, Quảng Bình","Xã Hoa Thủy, Huyện Lệ Thủy, Tỉnh Quảng Bình"
1123,Lộc Thủy,loc-thuy,xa,Xã Lộc Thủy,19279,457,"Lộc Thủy, Lệ Thủy, Quảng Bình","Xã Lộc Thủy, Huyện Lệ Thủy, Tỉnh Quảng Bình"
1124,Sen Thủy,sen-thuy,xa,Xã Sen Thủy,19312,457,"Sen Thủy, Lệ Thủy, Quảng Bình","Xã Sen Thủy, Huyện Lệ Thủy, Tỉnh Quảng Bình"
1125,Thái Thủy,thai-thuy,xa,Xã Thái Thủy,19315,457,"Thái Thủy, Lệ Thủy, Quảng Bình","Xã Thái Thủy, Huyện Lệ Thủy, Tỉnh Quảng Bình"
1126,Sơn Thủy,son-thuy,xa,Xã Sơn Thủy,19276,457,"Sơn Thủy, Lệ Thủy, Quảng Bình","Xã Sơn Thủy, Huyện Lệ Thủy, Tỉnh Quảng Bình"
1127,Phú Thủy,phu-thuy,xa,Xã Phú Thủy,19297,457,"Phú Thủy, Lệ Thủy, Quảng Bình","Xã Phú Thủy, Huyện Lệ Thủy, Tỉnh Quảng Bình"
1128,Ngư Thủy Bắc,ngu-thuy-bac,xa,Xã Ngư Thủy Bắc,19255,457,"Ngư Thủy Bắc, Lệ Thủy, Quảng Bình","Xã Ngư Thủy Bắc, Huyện Lệ Thủy, Tỉnh Quảng Bình"
1129,Tân Thủy,tan-thuy,xa,Xã Tân Thủy,19294,457,"Tân Thủy, Lệ Thủy, Quảng Bình","Xã Tân Thủy, Huyện Lệ Thủy, Tỉnh Quảng Bình"
1130,Hồng Thủy,hong-thuy,xa,Xã Hồng Thủy,19252,457,"Hồng Thủy, Lệ Thủy, Quảng Bình","Xã Hồng Thủy, Huyện Lệ Thủy, Tỉnh Quảng Bình"
1131,Ngân Thủy,ngan-thuy,xa,Xã Ngân Thủy,19273,457,"Ngân Thủy, Lệ Thủy, Quảng Bình","Xã Ngân Thủy, Huyện Lệ Thủy, Tỉnh Quảng Bình"
1132,Cam Thủy,cam-thuy,xa,Xã Cam Thủy,19270,457,"Cam Thủy, Lệ Thủy, Quảng Bình","Xã Cam Thủy, Huyện Lệ Thủy, Tỉnh Quảng Bình"
1133,Dương Thủy,duong-thuy,xa,Xã Dương Thủy,19291,457,"Dương Thủy, Lệ Thủy, Quảng Bình","Xã Dương Thủy, Huyện Lệ Thủy, Tỉnh Quảng Bình"
1134,Kim Thủy,kim-thuy,xa,Xã Kim Thủy,19318,457,"Kim Thủy, Lệ Thủy, Quảng Bình","Xã Kim Thủy, Huyện Lệ Thủy, Tỉnh Quảng Bình"
1135,Ba Đồn,ba-don,thi-xa,Thị xã Ba Đồn,458,44,"Ba Đồn, Quảng Bình","Thị xã Ba Đồn, Tỉnh Quảng Bình"
